Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,132.710007,132.929993,131.750000,132.149994,122.802017,4939400
2017-07-18,131.619995,134.949997,131.080002,134.460007,124.948631,10256000
2017-07-19,134.839996,135.410004,134.520004,135.210007,125.645607,5503300
2017-07-20,135.729996,137.080002,135.619995,136.570007,126.909386,6088600
2017-07-21,135.330002,136.270004,135.100006,135.309998,125.738510,6773500
2017-07-24,134.990005,135.160004,132.850006,133.009995,123.601212,8306700
2017-07-25,133.740005,133.850006,131.449997,131.880005,122.551155,6262900
2017-07-26,131.660004,132.240005,130.750000,130.949997,121.686920,5382200
2017-07-27,130.850006,131.149994,129.570007,130.830002,121.575409,5838100
2017-07-28,131.139999,131.990005,130.520004,131.850006,122.523270,4970900
2017-07-31,132.139999,133.580002,132.100006,132.720001,123.331711,5440800
2017-08-01,133.169998,133.350006,132.279999,132.509995,123.136566,3837600
2017-08-02,132.080002,132.500000,131.500000,132.160004,122.811317,4032100
2017-08-03,131.910004,133.399994,131.509995,133.350006,123.917152,4327300
2017-08-04,133.740005,134.009995,132.800003,133.179993,123.759155,3192800
2017-08-07,133.089996,133.479996,132.509995,132.860001,123.461815,3010800
2017-08-08,132.500000,132.800003,131.399994,132.270004,122.913544,5535800
2017-08-09,132.809998,133.410004,132.369995,133.229996,123.805649,6332300
2017-08-10,133.039993,133.850006,132.369995,133.089996,123.675529,5607900
2017-08-11,133.639999,134.490005,132.750000,133.100006,123.684845,4270600
2017-08-14,134.199997,134.369995,132.869995,133.479996,124.037971,3041100
2017-08-15,133.850006,133.940002,133.199997,133.380005,123.945038,3931800
2017-08-16,134.080002,134.970001,133.860001,134.169998,124.679153,4469900
2017-08-17,134.179993,134.740005,133.029999,133.039993,123.629082,5741400
2017-08-18,132.669998,133.779999,132.380005,132.630005,123.248085,4792800
2017-08-21,132.279999,133.649994,132.190002,133.449997,124.010086,4660000
2017-08-22,133.270004,134.789993,132.899994,134.699997,125.171646,4150300
2017-08-23,134.429993,134.490005,132.649994,132.800003,123.406052,5129900
2017-08-24,132.820007,133.080002,132.270004,132.889999,123.489670,5398400
2017-08-25,131.910004,132.559998,131.619995,131.679993,123.143661,4133300
2017-08-28,131.679993,132.119995,131.490005,131.740005,123.199776,5349200
2017-08-29,131.570007,132.449997,131.300003,132.210007,123.639320,3277900
2017-08-30,132.000000,132.000000,130.899994,131.070007,122.573212,5430800
2017-08-31,131.389999,132.500000,131.250000,132.369995,123.788933,7407100
2017-09-01,132.600006,132.649994,130.940002,131.029999,122.535805,3820800
2017-09-05,130.720001,131.179993,129.720001,129.899994,121.479073,5146600
2017-09-06,130.539993,131.000000,130.210007,130.669998,122.199150,5601900
2017-09-07,130.860001,132.520004,130.250000,132.190002,123.620613,3800200
2017-09-08,132.000000,132.339996,130.869995,130.979996,122.489037,4854400
2017-09-11,131.369995,133.339996,131.020004,133.210007,124.574478,5724200
2017-09-12,133.830002,133.880005,131.929993,132.630005,124.032082,5465200
2017-09-13,132.669998,133.750000,131.850006,132.449997,123.863762,4679500
2017-09-14,132.139999,134.470001,131.990005,134.179993,125.481606,6274500
2017-09-15,134.789993,135.449997,134.179993,134.449997,125.734085,15522000
2017-09-18,134.440002,135.770004,134.110001,135.380005,126.603828,5260800
2017-09-19,135.020004,135.789993,134.350006,135.220001,126.454201,4903800
2017-09-20,133.250000,134.289993,132.339996,133.220001,124.583832,8705500
2017-09-21,133.309998,133.820007,131.380005,131.750000,123.209129,6051800
2017-09-22,131.990005,132.389999,131.270004,131.389999,122.872490,4334900
2017-09-25,131.470001,131.759995,130.830002,131.169998,122.666718,6017400
2017-09-26,131.500000,131.940002,130.820007,130.940002,122.451637,4516200
2017-09-27,131.000000,131.089996,129.429993,129.750000,121.338791,5796100
2017-09-28,129.910004,130.270004,129.289993,129.470001,121.076935,3992700
2017-09-29,129.580002,130.470001,129.050003,130.009995,121.581924,5736900
2017-10-02,130.160004,131.330002,130.020004,131.220001,122.713501,4492900
2017-10-03,131.649994,132.399994,131.360001,132.100006,123.536461,3900800
2017-10-04,132.399994,133.179993,132.100006,132.889999,124.275208,3589000
2017-10-05,132.889999,133.309998,132.360001,133.190002,124.555786,3741100
2017-10-06,133.000000,133.250000,132.479996,133.220001,124.583832,2469500
2017-10-09,133.660004,133.820007,133.169998,133.449997,124.798958,3750500
2017-10-10,133.559998,134.130005,132.919998,133.899994,125.219749,4184600
2017-10-11,134.880005,137.080002,134.369995,136.649994,127.791481,8269400
2017-10-12,136.339996,137.520004,136.020004,136.830002,127.959808,5172800
2017-10-13,136.600006,137.419998,136.339996,136.429993,127.585747,4106600
2017-10-16,136.449997,137.259995,135.539993,136.119995,127.295853,5120100
2017-10-17,137.669998,141.119995,137.059998,140.789993,131.663116,11717300
2017-10-18,140.789993,141.580002,140.070007,140.679993,131.560242,6827700
2017-10-19,140.710007,142.979996,140.539993,142.039993,132.832047,9181300
2017-10-20,142.380005,143.619995,141.830002,142.399994,133.168732,5634500
2017-10-23,142.130005,144.350006,142.080002,143.619995,134.309647,6686000
2017-10-24,143.380005,143.380005,140.929993,141.639999,132.457993,6585800
2017-10-25,141.160004,143.229996,140.960007,142.360001,133.131317,6563600
2017-10-26,142.509995,143.750000,141.380005,141.809998,132.617004,5841100
2017-10-27,141.000000,142.699997,140.199997,141.779999,132.588913,5140100
2017-10-30,141.080002,141.210007,139.320007,140.000000,130.924316,6034300
2017-10-31,140.020004,140.259995,138.979996,139.410004,130.372574,4832100
2017-11-01,139.830002,140.589996,139.339996,139.979996,130.905609,5006800
2017-11-02,140.110001,140.289993,139.110001,139.929993,130.858856,3494100
2017-11-03,139.729996,140.399994,139.300003,140.080002,130.999130,2737000
2017-11-06,140.009995,140.490005,139.720001,139.759995,130.699875,4220700
2017-11-07,140.080002,140.149994,138.910004,139.770004,130.709229,4201900
2017-11-08,139.699997,141.869995,139.460007,141.320007,132.158752,4440700
2017-11-09,140.860001,141.410004,139.800003,140.350006,131.251633,3517100
2017-11-10,140.130005,140.130005,138.610001,139.559998,130.512833,4240800
2017-11-13,139.009995,140.020004,138.419998,139.759995,130.699875,4322300
2017-11-14,139.570007,140.279999,138.919998,139.490005,130.447372,4078200
2017-11-15,139.229996,139.830002,138.750000,139.100006,130.082687,4811500
2017-11-16,139.419998,139.679993,138.639999,138.869995,129.867584,4193800
2017-11-17,138.300003,138.860001,137.889999,138.000000,129.053970,4247400
2017-11-20,138.149994,138.559998,137.740005,137.929993,128.988510,4266300
2017-11-21,138.449997,139.259995,138.190002,138.339996,129.371918,5660600
2017-11-22,138.300003,138.380005,136.600006,137.289993,128.389984,3917000
2017-11-24,137.500000,138.380005,137.309998,138.009995,129.063309,2606800
2017-11-27,137.509995,138.309998,137.479996,138.100006,129.938370,3933100
2017-11-28,138.300003,140.529999,138.250000,140.020004,131.744904,5052800
2017-11-29,140.220001,140.630005,138.949997,139.809998,131.547287,5851400
2017-11-30,140.059998,140.279999,138.479996,139.330002,131.095657,8941900
2017-12-01,139.570007,140.529999,138.600006,139.979996,131.707260,5990500
2017-12-04,140.619995,141.500000,138.929993,139.009995,130.794571,5916700
2017-12-05,139.789993,140.809998,139.199997,139.669998,131.415588,6745300
2017-12-06,140.839996,141.960007,140.190002,141.059998,132.723419,5591700
2017-12-07,140.009995,141.500000,139.259995,140.009995,131.735489,4713100
2017-12-08,140.000000,140.759995,139.800003,140.589996,132.281219,5101300
2017-12-11,140.899994,141.169998,139.830002,141.139999,132.798706,4358600
2017-12-12,142.600006,143.570007,142.039993,142.600006,134.172440,8016700
2017-12-13,142.500000,143.429993,142.210007,142.889999,134.445282,6118400
2017-12-14,143.520004,143.619995,141.610001,141.649994,133.278564,5337900
2017-12-15,142.479996,143.139999,141.779999,142.460007,134.040710,12517000
2017-12-18,142.559998,143.800003,141.399994,141.800003,133.419678,5833200
2017-12-19,141.889999,142.380005,141.360001,141.779999,133.400879,6580100
2017-12-20,142.259995,142.580002,141.080002,141.160004,132.817520,6289800
2017-12-21,141.589996,142.169998,141.020004,141.059998,132.723419,6284700
2017-12-22,141.000000,141.350006,140.039993,140.119995,131.838974,4665600
2017-12-26,140.460007,140.539993,139.679993,140.089996,131.810745,3271100
