Date,Open,High,Low,Close,Adj Close,Volume
2017-08-02,192.139999,193.449997,192.139999,193.000000,185.127380,2463800
2017-08-03,193.259995,194.960007,193.009995,194.770004,186.825195,2886100
2017-08-04,194.949997,196.039993,194.600006,194.880005,186.930679,2892300
2017-08-07,194.809998,195.410004,193.899994,194.779999,186.834778,2074800
2017-08-08,194.679993,194.990005,194.080002,194.899994,186.949875,1741000
2017-08-09,194.899994,195.360001,194.169998,194.830002,186.882751,2125900
2017-08-10,194.259995,194.389999,192.399994,192.570007,184.714935,2698600
2017-08-11,193.910004,194.539993,192.660004,193.020004,185.146591,2210700
2017-08-14,194.600006,194.750000,192.899994,193.710007,185.808441,2322000
2017-08-15,194.470001,195.009995,193.809998,194.500000,186.566208,1595200
2017-08-16,194.809998,195.270004,192.830002,193.770004,185.866013,1881600
2017-08-17,193.750000,194.240005,192.660004,192.699997,184.839645,2440900
2017-08-18,192.839996,193.199997,190.630005,190.820007,183.036316,2858500
2017-08-21,190.880005,192.309998,190.880005,192.029999,184.196960,1930500
2017-08-22,192.149994,194.960007,191.559998,194.789993,186.844391,2021900
2017-08-23,194.500000,194.589996,193.720001,194.240005,186.316818,1547000
2017-08-24,194.550003,195.070007,194.210007,194.750000,186.805984,1923700
2017-08-25,195.330002,195.539993,194.139999,194.360001,186.431915,1375000
2017-08-28,194.589996,195.809998,194.360001,195.089996,187.132141,2009900
2017-08-29,194.830002,197.039993,194.330002,196.729996,188.705215,2072200
2017-08-30,196.380005,196.880005,195.199997,195.880005,187.889908,1506700
2017-08-31,196.929993,199.490005,196.389999,198.899994,190.786728,2990200
2017-09-01,199.789993,199.990005,198.360001,199.750000,191.602081,2241800
2017-09-05,199.199997,200.440002,198.710007,199.309998,191.180023,2700800
2017-09-06,199.539993,199.990005,197.630005,198.380005,190.287949,3040200
2017-09-07,197.770004,199.479996,197.070007,198.169998,190.807861,2684600
2017-09-08,198.429993,198.860001,197.000000,197.750000,190.403473,2206000
2017-09-11,199.250000,200.419998,198.779999,199.580002,192.165482,3307900
2017-09-12,199.440002,199.470001,196.910004,197.470001,190.133865,2554700
2017-09-13,197.800003,200.759995,197.779999,198.330002,190.961929,2394400
2017-09-14,197.949997,198.380005,197.089996,197.729996,190.384201,2378600
2017-09-15,198.520004,199.710007,197.199997,198.179993,190.817474,4198700
2017-09-18,198.169998,198.820007,197.509995,198.190002,190.827118,1915200
2017-09-19,198.440002,198.600006,192.389999,194.649994,187.418640,3819000
2017-09-20,195.020004,195.839996,194.059998,195.750000,188.477768,2788500
2017-09-21,195.630005,196.130005,194.899994,195.210007,187.957855,1895000
2017-09-22,195.110001,195.869995,188.250000,193.029999,185.858826,5660200
2017-09-25,193.270004,196.309998,190.919998,191.750000,184.626389,3105900
2017-09-26,192.309998,194.360001,192.039993,192.699997,185.541092,2775400
2017-09-27,193.199997,195.619995,191.740005,194.490005,187.264572,3267200
2017-09-28,194.250000,196.550003,193.509995,196.100006,188.814789,2088400
2017-09-29,195.820007,196.089996,194.479996,195.850006,188.574051,2646300
2017-10-02,196.589996,197.910004,196.330002,197.440002,190.104980,2893600
2017-10-03,197.500000,199.440002,197.259995,198.630005,191.250778,2533800
2017-10-04,199.029999,200.729996,198.429993,200.479996,193.032043,2286400
2017-10-05,199.929993,199.929993,196.559998,197.899994,190.547882,4069000
2017-10-06,197.899994,199.990005,197.509995,198.059998,190.701950,3361900
2017-10-09,198.009995,198.320007,195.779999,196.300003,189.007339,3365400
2017-10-10,196.259995,196.429993,193.669998,194.679993,187.447525,2499100
2017-10-11,194.630005,196.070007,193.589996,195.259995,188.005966,2935600
2017-10-12,195.009995,195.360001,192.729996,192.919998,185.752914,2954700
2017-10-13,189.589996,192.710007,186.000000,192.520004,185.367783,5435000
2017-10-16,192.479996,193.320007,191.360001,193.199997,186.022491,2927400
2017-10-17,196.800003,206.619995,196.369995,203.889999,196.315369,8949700
2017-10-18,203.800003,207.800003,203.679993,205.229996,197.605545,4796300
2017-10-19,205.470001,205.750000,202.699997,203.250000,195.699158,3471800
2017-10-20,204.259995,208.210007,203.690002,207.490005,199.781616,5138800
2017-10-23,207.580002,208.449997,205.800003,207.009995,199.319458,2261400
2017-10-24,206.380005,208.229996,205.880005,208.149994,200.417099,3459900
2017-10-25,208.320007,209.139999,207.070007,207.559998,199.849014,2908300
2017-10-26,207.919998,211.699997,207.580002,209.149994,201.379929,4346000
2017-10-27,209.149994,212.770004,208.550003,212.600006,204.701782,4385300
2017-10-30,212.210007,212.770004,209.380005,209.389999,201.611053,2477400
2017-10-31,209.389999,210.520004,207.800003,210.220001,202.410202,3749600
2017-11-01,211.619995,212.630005,208.919998,209.529999,201.745834,1902900
2017-11-02,210.110001,211.490005,209.009995,211.100006,203.257507,2825900
2017-11-03,210.720001,213.830002,210.100006,212.869995,204.961761,2196900
2017-11-06,211.910004,213.929993,211.800003,212.119995,204.239609,2293700
2017-11-07,212.740005,213.539993,210.889999,212.699997,204.798050,1845800
2017-11-08,212.080002,212.929993,210.699997,210.770004,202.939804,2261100
2017-11-09,210.589996,211.759995,209.130005,211.559998,203.700409,1839700
2017-11-10,211.460007,211.809998,210.199997,211.070007,203.228638,1384700
2017-11-13,210.309998,213.539993,209.940002,212.660004,204.759583,2662200
2017-11-14,212.210007,212.699997,210.919998,211.710007,203.844849,1993900
2017-11-15,210.880005,211.979996,209.619995,209.860001,202.063568,1816300
2017-11-16,210.380005,212.009995,209.899994,211.130005,203.286423,1919600
2017-11-17,210.460007,211.460007,209.149994,209.899994,202.102097,1887500
2017-11-20,210.000000,210.679993,209.580002,210.250000,202.439087,2040400
2017-11-21,211.130005,212.850006,210.750000,212.600006,204.701782,2327200
2017-11-22,212.259995,212.809998,210.759995,211.220001,203.373047,2257800
2017-11-24,212.000000,212.929993,211.000000,212.509995,204.615128,744000
2017-11-27,212.250000,214.250000,211.809998,212.399994,204.509216,2856300
2017-11-28,213.880005,216.309998,212.509995,216.139999,208.110245,2905700
2017-11-29,217.699997,224.270004,217.360001,222.880005,214.599884,4247200
2017-11-30,223.830002,228.750000,222.289993,228.169998,220.435120,6846400
2017-12-01,228.889999,229.220001,221.080002,226.779999,219.092224,3325800
2017-12-04,229.259995,231.770004,221.399994,221.419998,213.913956,5591500
2017-12-05,221.000000,223.720001,219.160004,220.089996,212.629044,3246300
2017-12-06,221.020004,221.960007,219.029999,219.940002,212.484146,2397500
2017-12-07,220.589996,220.610001,218.190002,220.149994,212.686996,2661600
2017-12-08,220.550003,224.330002,220.220001,223.910004,216.319534,2233300
2017-12-11,222.509995,224.820007,222.039993,222.770004,215.218185,1599500
2017-12-12,221.399994,223.419998,221.259995,222.490005,214.947678,2294100
2017-12-13,221.740005,224.949997,221.229996,224.350006,216.744614,3059400
2017-12-14,225.000000,226.970001,221.009995,221.250000,213.749680,2811700
2017-12-15,223.750000,223.750000,220.630005,221.820007,214.300400,6293400
2017-12-18,222.600006,224.809998,222.190002,222.669998,215.121552,3194100
2017-12-19,222.990005,223.789993,220.850006,222.039993,214.512924,2340200
2017-12-20,223.110001,224.889999,221.729996,222.380005,214.841400,2633200
2017-12-21,223.119995,223.940002,221.369995,221.690002,214.174774,2955300
2017-12-22,222.000000,222.350006,218.449997,220.000000,212.542099,1959700
2017-12-26,219.089996,220.419998,219.089996,219.600006,212.155655,1482400
2017-12-27,219.979996,221.440002,219.250000,220.419998,212.947876,1861900
2017-12-28,221.460007,222.789993,220.149994,222.770004,215.218185,1452600
2017-12-29,223.949997,223.949997,220.460007,220.460007,212.986496,2350200
2018-01-02,221.020004,222.449997,220.000000,221.160004,213.662766,3485000
2018-01-03,221.619995,223.809998,220.520004,223.479996,215.904114,2417600
2018-01-04,224.339996,226.100006,224.169998,224.449997,216.841232,2749100
2018-01-05,225.190002,229.050003,224.720001,228.729996,220.976135,2432800
